p1_speed,p2_speed,p1_winning%_over_total,p2_winning%_over_total,winning_gap(p1 over p2)
"(0.2, 0.6)","(0.2, 0.6)",46.9470,53.0530,-6.1059
"(0.2, 0.6)","(0.25, 0.65)",45.4347,54.5653,-9.1306
"(0.2, 0.6)","(0.3, 0.7)",44.3520,55.6480,-11.2959
"(0.2, 0.6)","(0.35, 0.75)",44.6985,55.3015,-10.6029
"(0.2, 0.6)","(0.4, 0.8)",47.3250,52.6750,-5.3500
"(0.25, 0.65)","(0.2, 0.6)",48.3044,51.6956,-3.3911
"(0.25, 0.65)","(0.25, 0.65)",47.0334,52.9666,-5.9332
"(0.25, 0.65)","(0.3, 0.7)",45.7002,54.2998,-8.5995
"(0.25, 0.65)","(0.35, 0.75)",45.4536,54.5464,-9.0928
"(0.25, 0.65)","(0.4, 0.8)",48.3026,51.6974,-3.3949
"(0.3, 0.7)","(0.2, 0.6)",49.7449,50.2551,-0.5102
"(0.3, 0.7)","(0.25, 0.65)",48.4591,51.5409,-3.0817
"(0.3, 0.7)","(0.3, 0.7)",46.9215,53.0785,-6.1570
"(0.3, 0.7)","(0.35, 0.75)",46.9261,53.0739,-6.1478
"(0.3, 0.7)","(0.4, 0.8)",49.4666,50.5334,-1.0667
"(0.35, 0.75)","(0.2, 0.6)",50.1275,49.8725,0.2550
"(0.35, 0.75)","(0.25, 0.65)",48.5479,51.4521,-2.9043
"(0.35, 0.75)","(0.3, 0.7)",47.2651,52.7349,-5.4697
"(0.35, 0.75)","(0.35, 0.75)",47.1929,52.8071,-5.6143
"(0.35, 0.75)","(0.4, 0.8)",49.4910,50.5090,-1.0179
"(0.4, 0.8)","(0.2, 0.6)",47.2001,52.7999,-5.5998
"(0.4, 0.8)","(0.25, 0.65)",46.3735,53.6265,-7.2529
"(0.4, 0.8)","(0.3, 0.7)",45.6005,54.3995,-8.7989
"(0.4, 0.8)","(0.35, 0.75)",45.4093,54.5907,-9.1813
"(0.4, 0.8)","(0.4, 0.8)",47.6983,52.3017,-4.6033
