p1_speed,p2_speed,p1_winning%_over_total,p2_winning%_over_total,winning_gap(p1 over p2)
"(0.2, 0.6)","(0.2, 0.6)",48.9530,51.0470,-2.0940
"(0.2, 0.6)","(0.25, 0.65)",48.4012,51.5988,-3.1976
"(0.2, 0.6)","(0.3, 0.7)",48.2479,51.7521,-3.5041
"(0.2, 0.6)","(0.35, 0.75)",48.7078,51.2922,-2.5844
"(0.2, 0.6)","(0.4, 0.8)",51.7481,48.2519,3.4963
"(0.25, 0.65)","(0.2, 0.6)",49.3651,50.6349,-1.2698
"(0.25, 0.65)","(0.25, 0.65)",48.9523,51.0477,-2.0953
"(0.25, 0.65)","(0.3, 0.7)",48.4039,51.5961,-3.1922
"(0.25, 0.65)","(0.35, 0.75)",48.9299,51.0701,-2.1402
"(0.25, 0.65)","(0.4, 0.8)",52.1164,47.8836,4.2327
"(0.3, 0.7)","(0.2, 0.6)",49.5671,50.4329,-0.8658
"(0.3, 0.7)","(0.25, 0.65)",49.2456,50.7544,-1.5088
"(0.3, 0.7)","(0.3, 0.7)",48.7655,51.2345,-2.4691
"(0.3, 0.7)","(0.35, 0.75)",49.3593,50.6407,-1.2815
"(0.3, 0.7)","(0.4, 0.8)",52.3679,47.6321,4.7358
"(0.35, 0.75)","(0.2, 0.6)",48.9478,51.0522,-2.1044
"(0.35, 0.75)","(0.25, 0.65)",48.8030,51.1970,-2.3939
"(0.35, 0.75)","(0.3, 0.7)",48.1858,51.8142,-3.6283
"(0.35, 0.75)","(0.35, 0.75)",48.7027,51.2973,-2.5946
"(0.35, 0.75)","(0.4, 0.8)",51.6790,48.3210,3.3581
"(0.4, 0.8)","(0.2, 0.6)",45.9694,54.0306,-8.0611
"(0.4, 0.8)","(0.25, 0.65)",45.3311,54.6689,-9.3378
"(0.4, 0.8)","(0.3, 0.7)",44.8221,55.1779,-10.3558
"(0.4, 0.8)","(0.35, 0.75)",45.8397,54.1603,-8.3206
"(0.4, 0.8)","(0.4, 0.8)",49.2180,50.7820,-1.5641
