p1_speed,p2_speed,p1_winning%_over_total,p2_winning%_over_total,winning_gap(p1 over p2)
"(0.2, 0.6)","(0.2, 0.6)",53.1502,46.8498,6.3003
"(0.2, 0.6)","(0.25, 0.65)",51.6771,48.3229,3.3543
"(0.2, 0.6)","(0.3, 0.7)",50.6133,49.3867,1.2266
"(0.2, 0.6)","(0.35, 0.75)",50.3404,49.6596,0.6809
"(0.2, 0.6)","(0.4, 0.8)",52.9307,47.0693,5.8614
"(0.25, 0.65)","(0.2, 0.6)",54.3027,45.6973,8.6055
"(0.25, 0.65)","(0.25, 0.65)",53.0620,46.9380,6.1241
"(0.25, 0.65)","(0.3, 0.7)",51.5907,48.4093,3.1813
"(0.25, 0.65)","(0.35, 0.75)",51.4754,48.5246,2.9509
"(0.25, 0.65)","(0.4, 0.8)",53.4679,46.5321,6.9359
"(0.3, 0.7)","(0.2, 0.6)",55.8807,44.1193,11.7615
"(0.3, 0.7)","(0.25, 0.65)",54.3265,45.6735,8.6530
"(0.3, 0.7)","(0.3, 0.7)",53.0909,46.9091,6.1818
"(0.3, 0.7)","(0.35, 0.75)",52.6274,47.3726,5.2548
"(0.3, 0.7)","(0.4, 0.8)",54.4670,45.5330,8.9339
"(0.35, 0.75)","(0.2, 0.6)",55.2934,44.7066,10.5869
"(0.35, 0.75)","(0.25, 0.65)",54.4659,45.5341,8.9318
"(0.35, 0.75)","(0.3, 0.7)",53.3756,46.6244,6.7513
"(0.35, 0.75)","(0.35, 0.75)",52.6892,47.3108,5.3783
"(0.35, 0.75)","(0.4, 0.8)",54.9696,45.0304,9.9392
"(0.4, 0.8)","(0.2, 0.6)",52.2759,47.7241,4.5519
"(0.4, 0.8)","(0.25, 0.65)",51.8110,48.1890,3.6220
"(0.4, 0.8)","(0.3, 0.7)",51.0515,48.9485,2.1031
"(0.4, 0.8)","(0.35, 0.75)",50.5776,49.4224,1.1553
"(0.4, 0.8)","(0.4, 0.8)",52.1123,47.8877,4.2246
